group,date,sgtf,voc,sgtfv
East of England,2020-09-01,2,0,0
East of England,2020-09-02,2,0,0
East of England,2020-09-03,3,0,0
East of England,2020-09-04,0,0,0
East of England,2020-09-05,0,0,0
East of England,2020-09-06,1,0,0
East of England,2020-09-07,4,0,0
East of England,2020-09-08,1,0,0
East of England,2020-09-09,1,0,0
East of England,2020-09-10,4,0,0
East of England,2020-09-11,0,0,0
East of England,2020-09-12,0,0,0
East of England,2020-09-13,0,0,0
East of England,2020-09-14,3,0,0
East of England,2020-09-15,3,0,0
East of England,2020-09-16,0,0,0
East of England,2020-09-17,0,0,0
East of England,2020-09-18,0,0,0
East of England,2020-09-19,1,0,0
East of England,2020-09-20,2,0,0
East of England,2020-09-21,4,0,0
East of England,2020-09-22,0,0,0
East of England,2020-09-23,2,0,0
East of England,2020-09-24,7,0,0
East of England,2020-09-25,4,0,0
East of England,2020-09-26,0,0,0
East of England,2020-09-27,0,0,0
East of England,2020-09-28,1,0,0
East of England,2020-09-29,1,0,0
East of England,2020-09-30,1,0,0
East of England,2020-10-01,5,0,0
East of England,2020-10-02,0,0,0
East of England,2020-10-03,3,0,0
East of England,2020-10-04,0,0,0
East of England,2020-10-05,1,0,0
East of England,2020-10-06,9,0,0
East of England,2020-10-07,0,0,0
East of England,2020-10-08,0,0,0
East of England,2020-10-09,4,0,0
East of England,2020-10-10,0,0,0
East of England,2020-10-11,3,0,0
East of England,2020-10-12,1,0,0
East of England,2020-10-13,2,0,0
East of England,2020-10-14,2,0,0
East of England,2020-10-15,8,0,0
East of England,2020-10-16,1,0,0
East of England,2020-10-17,0,0,0
East of England,2020-10-18,0,0,0
East of England,2020-10-19,1,0,0
East of England,2020-10-20,3,0,0
East of England,2020-10-21,8,1,0.125
East of England,2020-10-22,0,0,0.0625
East of England,2020-10-23,7,0,0
East of England,2020-10-24,3,0,0
East of England,2020-10-25,0,0,0.0666666666666667
East of England,2020-10-26,0,0,0.133333333333333
East of England,2020-10-27,0,0,0.2
East of England,2020-10-28,0,0,0.266666666666667
East of England,2020-10-29,6,2,0.333333333333333
East of England,2020-10-30,8,2,0.25
East of England,2020-10-31,4,1,0.25
East of England,2020-11-01,7,1,0.142857142857143
East of England,2020-11-02,15,9,0.6
East of England,2020-11-03,4,4,1
East of England,2020-11-04,3,1,0.333333333333333
East of England,2020-11-05,9,7,0.777777777777778
East of England,2020-11-06,11,8,0.727272727272727
East of England,2020-11-07,0,0,0.688636363636364
East of England,2020-11-08,20,13,0.65
East of England,2020-11-09,22,16,0.727272727272727
East of England,2020-11-10,3,2,0.666666666666667
East of England,2020-11-11,9,6,0.666666666666667
East of England,2020-11-12,27,24,0.888888888888889
East of England,2020-11-13,31,21,0.67741935483871
East of England,2020-11-14,10,10,1
East of England,2020-11-15,22,19,0.863636363636364
East of England,2020-11-16,7,3,0.428571428571429
East of England,2020-11-17,17,12,0.705882352941177
East of England,2020-11-18,11,8,0.727272727272727
East of England,2020-11-19,13,11,0.846153846153846
East of England,2020-11-20,8,6,0.75
East of England,2020-11-21,42,39,0.928571428571429
East of England,2020-11-22,64,60,0.9375
East of England,2020-11-23,21,20,0.952380952380952
East of England,2020-11-24,5,3,0.6
East of England,2020-11-25,5,4,0.8
East of England,2020-11-26,14,12,0.857142857142857
East of England,2020-11-27,8,8,1
East of England,2020-11-28,10,9,0.9
East of England,2020-11-29,12,12,1
East of England,2020-11-30,9,8,0.888888888888889
East of England,2020-12-01,10,9,0.9
East of England,2020-12-02,15,14,0.933333333333333
East of England,2020-12-03,8,7,0.875
East of England,2020-12-04,16,16,1
East of England,2020-12-05,13,12,0.923076923076923
East of England,2020-12-06,6,5,0.833333333333333
East of England,2020-12-07,73,70,0.958904109589041
East of England,2020-12-08,29,25,0.862068965517241
East of England,2020-12-09,63,61,0.968253968253968
East of England,2020-12-10,145,142,0.979310344827586
East of England,2020-12-11,63,62,0.984126984126984
East of England,2020-12-12,27,26,0.962962962962963
East of England,2020-12-13,85,83,0.976470588235294
East of England,2020-12-14,73,72,0.986301369863014
East of England,2020-12-15,160,158,0.9875
East of England,2020-12-16,131,126,0.961832061068702
East of England,2020-12-17,227,222,0.977973568281938
East of England,2020-12-18,171,171,1
East of England,2020-12-19,89,87,0.97752808988764
East of England,2020-12-20,54,54,1
East of England,2020-12-21,123,120,0.975609756097561
East of England,2020-12-22,69,66,0.956521739130435
East of England,2020-12-23,24,23,0.958333333333333
East of England,2020-12-24,73,69,0.945205479452055
East of England,2020-12-25,59,54,0.915254237288136
East of England,2020-12-26,129,124,0.961240310077519
East of England,2020-12-27,75,66,0.88
East of England,2020-12-28,78,77,0.987179487179487
East of England,2020-12-29,64,64,1
East of England,2020-12-30,14,14,1
East of England,2020-12-31,48,45,0.9375
East of England,2021-01-01,7,7,1
East of England,2021-01-02,,,1
East of England,2021-01-03,,,1
East of England,2021-01-04,,,1
East of England,2021-01-05,,,1
East of England,2021-01-06,,,1
East of England,2021-01-07,,,1
East of England,2021-01-08,,,1
East of England,2021-01-09,,,1
East of England,2021-01-10,,,1
East of England,2021-01-11,,,1
East of England,2021-01-12,,,1
East of England,2021-01-13,,,1
East of England,2021-01-14,,,1
East of England,2021-01-15,,,1
East of England,2021-01-16,,,1
East of England,2021-01-17,,,1
East of England,2021-01-18,,,1
East of England,2021-01-19,,,1
East of England,2021-01-20,,,1
East of England,2021-01-21,,,1
East of England,2021-01-22,,,1
East of England,2021-01-23,,,1
East of England,2021-01-24,,,1
East of England,2021-01-25,,,1
East of England,2021-01-26,,,1
East of England,2021-01-27,,,1
East of England,2021-01-28,,,1
East of England,2021-01-29,,,1
East of England,2021-01-30,,,1
East of England,2021-01-31,,,1
East of England,2021-02-01,,,1
East of England,2021-02-02,,,1
East of England,2021-02-03,,,1
East of England,2021-02-04,,,1
East of England,2021-02-05,,,1
East of England,2021-02-06,,,1
East of England,2021-02-07,,,1
East of England,2021-02-08,,,1
East of England,2021-02-09,,,1
East of England,2021-02-10,,,1
East of England,2021-02-11,,,1
East of England,2021-02-12,,,1
East of England,2021-02-13,,,1
